clip_id,object_id,class_id,shift_id,repetition
S02_P08_ok_stable_R04,P08,ok,stable,4
S02_P08_damaged_label_stable_R05,P08,damaged_label,stable,5
S02_P07_ok_stable_R05,P07,ok,stable,5
S02_P08_misaligned_label_stable_R04,P08,misaligned_label,stable,4
S02_P08_missing_label_stable_R05,P08,missing_label,stable,5
S02_P07_ok_stable_R02,P07,ok,stable,2
S02_P07_misaligned_label_stable_R01,P07,misaligned_label,stable,1
S02_P07_ok_stable_R04,P07,ok,stable,4
S02_P07_missing_label_stable_R01,P07,missing_label,stable,1
S02_P07_damaged_label_stable_R05,P07,damaged_label,stable,5
S02_P08_misaligned_label_stable_R01,P08,misaligned_label,stable,1
S02_P08_missing_label_stable_R02,P08,missing_label,stable,2
S02_P08_misaligned_label_stable_R05,P08,misaligned_label,stable,5
S02_P08_missing_label_stable_R03,P08,missing_label,stable,3
S02_P08_misaligned_label_stable_R02,P08,misaligned_label,stable,2
S02_P07_damaged_label_stable_R04,P07,damaged_label,stable,4
S02_P07_missing_label_stable_R02,P07,missing_label,stable,2
S02_P07_missing_label_stable_R03,P07,missing_label,stable,3
S02_P07_missing_label_stable_R04,P07,missing_label,stable,4
S02_P07_damaged_label_stable_R01,P07,damaged_label,stable,1
S02_P08_damaged_label_stable_R01,P08,damaged_label,stable,1
S02_P08_ok_stable_R05,P08,ok,stable,5
S02_P08_ok_stable_R01,P08,ok,stable,1
S02_P08_missing_label_stable_R01,P08,missing_label,stable,1
S02_P08_damaged_label_stable_R04,P08,damaged_label,stable,4
S02_P07_missing_label_stable_R05,P07,missing_label,stable,5
S02_P08_misaligned_label_stable_R03,P08,misaligned_label,stable,3
S02_P07_misaligned_label_stable_R03,P07,misaligned_label,stable,3
S02_P07_damaged_label_stable_R03,P07,damaged_label,stable,3
S02_P07_misaligned_label_stable_R04,P07,misaligned_label,stable,4
S02_P07_ok_stable_R03,P07,ok,stable,3
S02_P07_misaligned_label_stable_R02,P07,misaligned_label,stable,2
S02_P07_damaged_label_stable_R02,P07,damaged_label,stable,2
S02_P08_missing_label_stable_R04,P08,missing_label,stable,4
S02_P08_damaged_label_stable_R03,P08,damaged_label,stable,3
S02_P08_ok_stable_R02,P08,ok,stable,2
S02_P07_misaligned_label_stable_R05,P07,misaligned_label,stable,5
S02_P07_ok_stable_R01,P07,ok,stable,1
S02_P08_damaged_label_stable_R02,P08,damaged_label,stable,2
S02_P08_ok_stable_R03,P08,ok,stable,3
