clip_id,object_id,class_id,shift_id,repetition
S09_P10_missing_label_glare_R01,P10,missing_label,glare,1
S09_P09_damaged_label_mild_light_R01,P09,damaged_label,mild_light,1
S09_P09_ok_mild_light_R02,P09,ok,mild_light,2
S09_P09_ok_glare_R01,P09,ok,glare,1
S09_P10_damaged_label_new_background_R02,P10,damaged_label,new_background,2
S09_P09_misaligned_label_glare_R02,P09,misaligned_label,glare,2
S09_P09_misaligned_label_mild_light_R02,P09,misaligned_label,mild_light,2
S09_P10_misaligned_label_mild_light_R01,P10,misaligned_label,mild_light,1
S09_P10_missing_label_glare_R02,P10,missing_label,glare,2
S09_P10_damaged_label_glare_R01,P10,damaged_label,glare,1
S09_P10_damaged_label_glare_R02,P10,damaged_label,glare,2
S09_P09_misaligned_label_side_shadow_R01,P09,misaligned_label,side_shadow,1
S09_P09_damaged_label_new_background_R01,P09,damaged_label,new_background,1
S09_P10_misaligned_label_glare_R02,P10,misaligned_label,glare,2
S09_P10_misaligned_label_mild_light_R02,P10,misaligned_label,mild_light,2
S09_P10_misaligned_label_side_shadow_R02,P10,misaligned_label,side_shadow,2
S09_P09_missing_label_glare_R02,P09,missing_label,glare,2
S09_P09_missing_label_side_shadow_R02,P09,missing_label,side_shadow,2
S09_P10_missing_label_mild_light_R02,P10,missing_label,mild_light,2
S09_P09_damaged_label_new_background_R02,P09,damaged_label,new_background,2
S09_P09_damaged_label_glare_R02,P09,damaged_label,glare,2
S09_P10_ok_new_background_R01,P10,ok,new_background,1
S09_P10_damaged_label_mild_light_R01,P10,damaged_label,mild_light,1
S09_P09_missing_label_new_background_R01,P09,missing_label,new_background,1
S09_P10_ok_mild_light_R02,P10,ok,mild_light,2
S09_P09_damaged_label_mild_light_R02,P09,damaged_label,mild_light,2
S09_P10_ok_side_shadow_R02,P10,ok,side_shadow,2
S09_P09_misaligned_label_side_shadow_R02,P09,misaligned_label,side_shadow,2
S09_P10_damaged_label_side_shadow_R02,P10,damaged_label,side_shadow,2
S09_P09_damaged_label_glare_R01,P09,damaged_label,glare,1
S09_P09_ok_mild_light_R01,P09,ok,mild_light,1
S09_P09_ok_new_background_R02,P09,ok,new_background,2
S09_P09_ok_side_shadow_R01,P09,ok,side_shadow,1
S09_P10_damaged_label_mild_light_R02,P10,damaged_label,mild_light,2
S09_P10_missing_label_side_shadow_R01,P10,missing_label,side_shadow,1
S09_P09_missing_label_mild_light_R02,P09,missing_label,mild_light,2
S09_P09_damaged_label_side_shadow_R01,P09,damaged_label,side_shadow,1
S09_P10_ok_glare_R02,P10,ok,glare,2
S09_P10_misaligned_label_new_background_R02,P10,misaligned_label,new_background,2
S09_P09_missing_label_new_background_R02,P09,missing_label,new_background,2
S09_P09_misaligned_label_mild_light_R01,P09,misaligned_label,mild_light,1
S09_P10_missing_label_new_background_R01,P10,missing_label,new_background,1
S09_P10_damaged_label_side_shadow_R01,P10,damaged_label,side_shadow,1
S09_P10_missing_label_side_shadow_R02,P10,missing_label,side_shadow,2
S09_P09_ok_side_shadow_R02,P09,ok,side_shadow,2
S09_P09_damaged_label_side_shadow_R02,P09,damaged_label,side_shadow,2
S09_P10_missing_label_mild_light_R01,P10,missing_label,mild_light,1
S09_P10_ok_side_shadow_R01,P10,ok,side_shadow,1
S09_P09_ok_glare_R02,P09,ok,glare,2
S09_P09_misaligned_label_new_background_R01,P09,misaligned_label,new_background,1
S09_P09_missing_label_side_shadow_R01,P09,missing_label,side_shadow,1
S09_P10_damaged_label_new_background_R01,P10,damaged_label,new_background,1
S09_P10_missing_label_new_background_R02,P10,missing_label,new_background,2
S09_P10_misaligned_label_new_background_R01,P10,misaligned_label,new_background,1
S09_P09_missing_label_glare_R01,P09,missing_label,glare,1
S09_P09_missing_label_mild_light_R01,P09,missing_label,mild_light,1
S09_P10_misaligned_label_side_shadow_R01,P10,misaligned_label,side_shadow,1
S09_P10_misaligned_label_glare_R01,P10,misaligned_label,glare,1
S09_P09_misaligned_label_new_background_R02,P09,misaligned_label,new_background,2
S09_P10_ok_glare_R01,P10,ok,glare,1
S09_P09_misaligned_label_glare_R01,P09,misaligned_label,glare,1
S09_P10_ok_new_background_R02,P10,ok,new_background,2
S09_P09_ok_new_background_R01,P09,ok,new_background,1
S09_P10_ok_mild_light_R01,P10,ok,mild_light,1
