clip_id,object_id,class_id,shift_id,repetition
S06_P04_misaligned_label_motion_blur_R01,P04,misaligned_label,motion_blur,1
S06_P01_missing_label_motion_blur_R01,P01,missing_label,motion_blur,1
S06_P02_misaligned_label_viewpoint_45_R01,P02,misaligned_label,viewpoint_45,1
S06_P02_damaged_label_viewpoint_45_R01,P02,damaged_label,viewpoint_45,1
S06_P04_damaged_label_viewpoint_45_R01,P04,damaged_label,viewpoint_45,1
S06_P03_ok_viewpoint_45_R01,P03,ok,viewpoint_45,1
S06_P04_missing_label_distance_scale_R01,P04,missing_label,distance_scale,1
S06_P01_missing_label_distance_scale_R01,P01,missing_label,distance_scale,1
S06_P01_ok_distance_scale_R01,P01,ok,distance_scale,1
S06_P04_damaged_label_distance_scale_R01,P04,damaged_label,distance_scale,1
S06_P02_ok_viewpoint_45_R01,P02,ok,viewpoint_45,1
S06_P04_ok_motion_blur_R01,P04,ok,motion_blur,1
S06_P01_ok_viewpoint_45_R01,P01,ok,viewpoint_45,1
S06_P04_missing_label_viewpoint_45_R01,P04,missing_label,viewpoint_45,1
S06_P02_ok_motion_blur_R01,P02,ok,motion_blur,1
S06_P03_ok_motion_blur_R01,P03,ok,motion_blur,1
S06_P03_damaged_label_motion_blur_R01,P03,damaged_label,motion_blur,1
S06_P02_misaligned_label_distance_scale_R01,P02,misaligned_label,distance_scale,1
S06_P04_misaligned_label_viewpoint_45_R01,P04,misaligned_label,viewpoint_45,1
S06_P02_ok_distance_scale_R01,P02,ok,distance_scale,1
S06_P02_damaged_label_motion_blur_R01,P02,damaged_label,motion_blur,1
S06_P02_missing_label_distance_scale_R01,P02,missing_label,distance_scale,1
S06_P03_damaged_label_viewpoint_45_R01,P03,damaged_label,viewpoint_45,1
S06_P03_missing_label_distance_scale_R01,P03,missing_label,distance_scale,1
S06_P04_missing_label_motion_blur_R01,P04,missing_label,motion_blur,1
S06_P02_missing_label_motion_blur_R01,P02,missing_label,motion_blur,1
S06_P01_damaged_label_viewpoint_45_R01,P01,damaged_label,viewpoint_45,1
S06_P03_damaged_label_distance_scale_R01,P03,damaged_label,distance_scale,1
S06_P02_misaligned_label_motion_blur_R01,P02,misaligned_label,motion_blur,1
S06_P01_misaligned_label_motion_blur_R01,P01,misaligned_label,motion_blur,1
S06_P02_damaged_label_distance_scale_R01,P02,damaged_label,distance_scale,1
S06_P01_damaged_label_distance_scale_R01,P01,damaged_label,distance_scale,1
S06_P04_damaged_label_motion_blur_R01,P04,damaged_label,motion_blur,1
S06_P03_missing_label_motion_blur_R01,P03,missing_label,motion_blur,1
S06_P03_missing_label_viewpoint_45_R01,P03,missing_label,viewpoint_45,1
S06_P04_ok_viewpoint_45_R01,P04,ok,viewpoint_45,1
S06_P03_misaligned_label_viewpoint_45_R01,P03,misaligned_label,viewpoint_45,1
S06_P01_damaged_label_motion_blur_R01,P01,damaged_label,motion_blur,1
S06_P01_missing_label_viewpoint_45_R01,P01,missing_label,viewpoint_45,1
S06_P03_misaligned_label_distance_scale_R01,P03,misaligned_label,distance_scale,1
S06_P01_misaligned_label_viewpoint_45_R01,P01,misaligned_label,viewpoint_45,1
S06_P01_misaligned_label_distance_scale_R01,P01,misaligned_label,distance_scale,1
S06_P02_missing_label_viewpoint_45_R01,P02,missing_label,viewpoint_45,1
S06_P01_ok_motion_blur_R01,P01,ok,motion_blur,1
S06_P04_ok_distance_scale_R01,P04,ok,distance_scale,1
S06_P03_ok_distance_scale_R01,P03,ok,distance_scale,1
S06_P04_misaligned_label_distance_scale_R01,P04,misaligned_label,distance_scale,1
S06_P03_misaligned_label_motion_blur_R01,P03,misaligned_label,motion_blur,1
