clip_id,object_id,class_id,shift_id,repetition
S05_P02_misaligned_label_mild_light_R01,P02,misaligned_label,mild_light,1
S05_P03_missing_label_new_background_R01,P03,missing_label,new_background,1
S05_P01_damaged_label_glare_R01,P01,damaged_label,glare,1
S05_P03_misaligned_label_side_shadow_R01,P03,misaligned_label,side_shadow,1
S05_P03_misaligned_label_mild_light_R01,P03,misaligned_label,mild_light,1
S05_P02_missing_label_mild_light_R01,P02,missing_label,mild_light,1
S05_P01_missing_label_new_background_R01,P01,missing_label,new_background,1
S05_P04_ok_side_shadow_R01,P04,ok,side_shadow,1
S05_P01_ok_mild_light_R01,P01,ok,mild_light,1
S05_P02_misaligned_label_new_background_R01,P02,misaligned_label,new_background,1
S05_P01_ok_glare_R01,P01,ok,glare,1
S05_P03_ok_glare_R01,P03,ok,glare,1
S05_P02_damaged_label_side_shadow_R01,P02,damaged_label,side_shadow,1
S05_P03_misaligned_label_glare_R01,P03,misaligned_label,glare,1
S05_P04_damaged_label_mild_light_R01,P04,damaged_label,mild_light,1
S05_P04_misaligned_label_new_background_R01,P04,misaligned_label,new_background,1
S05_P04_damaged_label_side_shadow_R01,P04,damaged_label,side_shadow,1
S05_P04_missing_label_glare_R01,P04,missing_label,glare,1
S05_P02_ok_side_shadow_R01,P02,ok,side_shadow,1
S05_P02_damaged_label_glare_R01,P02,damaged_label,glare,1
S05_P02_missing_label_new_background_R01,P02,missing_label,new_background,1
S05_P01_damaged_label_new_background_R01,P01,damaged_label,new_background,1
S05_P04_misaligned_label_side_shadow_R01,P04,misaligned_label,side_shadow,1
S05_P04_damaged_label_new_background_R01,P04,damaged_label,new_background,1
S05_P02_missing_label_glare_R01,P02,missing_label,glare,1
S05_P04_ok_glare_R01,P04,ok,glare,1
S05_P03_damaged_label_side_shadow_R01,P03,damaged_label,side_shadow,1
S05_P03_missing_label_side_shadow_R01,P03,missing_label,side_shadow,1
S05_P04_missing_label_side_shadow_R01,P04,missing_label,side_shadow,1
S05_P01_missing_label_mild_light_R01,P01,missing_label,mild_light,1
S05_P02_misaligned_label_side_shadow_R01,P02,misaligned_label,side_shadow,1
S05_P04_missing_label_new_background_R01,P04,missing_label,new_background,1
S05_P01_ok_new_background_R01,P01,ok,new_background,1
S05_P03_damaged_label_new_background_R01,P03,damaged_label,new_background,1
S05_P03_misaligned_label_new_background_R01,P03,misaligned_label,new_background,1
S05_P02_damaged_label_new_background_R01,P02,damaged_label,new_background,1
S05_P01_misaligned_label_side_shadow_R01,P01,misaligned_label,side_shadow,1
S05_P03_damaged_label_glare_R01,P03,damaged_label,glare,1
S05_P02_ok_mild_light_R01,P02,ok,mild_light,1
S05_P04_missing_label_mild_light_R01,P04,missing_label,mild_light,1
S05_P03_ok_new_background_R01,P03,ok,new_background,1
S05_P03_missing_label_glare_R01,P03,missing_label,glare,1
S05_P03_ok_mild_light_R01,P03,ok,mild_light,1
S05_P03_missing_label_mild_light_R01,P03,missing_label,mild_light,1
S05_P04_misaligned_label_mild_light_R01,P04,misaligned_label,mild_light,1
S05_P03_damaged_label_mild_light_R01,P03,damaged_label,mild_light,1
S05_P04_ok_mild_light_R01,P04,ok,mild_light,1
S05_P02_missing_label_side_shadow_R01,P02,missing_label,side_shadow,1
S05_P01_ok_side_shadow_R01,P01,ok,side_shadow,1
S05_P01_misaligned_label_glare_R01,P01,misaligned_label,glare,1
S05_P03_ok_side_shadow_R01,P03,ok,side_shadow,1
S05_P02_misaligned_label_glare_R01,P02,misaligned_label,glare,1
S05_P02_damaged_label_mild_light_R01,P02,damaged_label,mild_light,1
S05_P01_misaligned_label_new_background_R01,P01,misaligned_label,new_background,1
S05_P04_misaligned_label_glare_R01,P04,misaligned_label,glare,1
S05_P04_ok_new_background_R01,P04,ok,new_background,1
S05_P02_ok_glare_R01,P02,ok,glare,1
S05_P01_misaligned_label_mild_light_R01,P01,misaligned_label,mild_light,1
S05_P01_damaged_label_mild_light_R01,P01,damaged_label,mild_light,1
S05_P04_damaged_label_glare_R01,P04,damaged_label,glare,1
S05_P01_damaged_label_side_shadow_R01,P01,damaged_label,side_shadow,1
S05_P01_missing_label_glare_R01,P01,missing_label,glare,1
S05_P01_missing_label_side_shadow_R01,P01,missing_label,side_shadow,1
S05_P02_ok_new_background_R01,P02,ok,new_background,1
